Genus,species,Family,Milne,Kimbe,Bootless,Madang,Bismark Sea,Museum Bootless,Total Areas,Fished,length (cm)
Dischistodus,perspicillatus,Pomacentridae,1,1,0,1,1,0,4,not fished,18
Dischistodus,prosopotaenia,Pomacentridae,1,1,1,1,1,0,5,not fished,18.5
Dischistodus,pseudochrysopoecilus,Pomacentridae,1,0,0,0,0,0,1,not fished,18
Hemiglyphidodon,plagiometopon,Pomacentridae,1,1,0,1,1,1,5,not fished,18
Lepidozygus,tapeinosoma,Pomacentridae,1,1,0,0,0,0,2,not fished,10.5
Neoglyphidodon,melas,Pomacentridae,1,1,1,1,1,0,5,not fished,18
Neoglyphidodon,mitratus,Pomacentridae,0,0,0,1,0,0,1,not fished,6.2
Neoglyphidodon,nigroris,Pomacentridae,1,1,1,1,1,0,5,not fished,13
Neoglyphidodon,thoracotaeniatus,Pomacentridae,1,1,0,0,1,0,3,not fished,13.5
Neoglyphidodon ,melas,Pomacentridae,1,1,1,1,1,0,5,Fished,18
Neopomacentrus,aquadulcis,Pomacentridae,1,0,0,0,0,0,1,not fished,6.5
Neopomacentrus,azysron,Pomacentridae,1,1,1,1,1,0,5,not fished,7.5
Neopomacentrus,cyanomos,Pomacentridae,1,1,0,0,1,1,4,not fished,10
Neopomacentrus,filamentosus,Pomacentridae,1,0,0,1,1,0,3,not fished,11
Neopomacentrus,nemurus,Pomacentridae,1,1,0,1,1,0,4,not fished,8
Neopomacentrus,taeniurus,Pomacentridae,0,0,1,1,0,0,2,not fished,10
Neopomacentrus,violascens,Pomacentridae,1,1,0,1,0,1,4,not fished,7.5
Plectroglyphidodon,dickii,Pomacentridae,1,1,0,1,1,0,4,not fished,11
Plectroglyphidodon,johnstonianus,Pomacentridae,1,0,0,1,0,0,2,not fished,14
Plectroglyphidodon,lacrymatus,Pomacentridae,1,1,1,1,1,0,5,not fished,10
Plectroglyphidodon,leucozonus,Pomacentridae,1,1,0,1,1,0,4,not fished,12
Plectroglyphidodon,phoenixensis,Pomacentridae,0,0,0,1,0,0,1,not fished,9
Pomacentrus,adelus,Pomacentridae,1,1,0,1,1,0,4,not fished,8.5
Pomacentrus,albimaculus,Pomacentridae,0,1,0,1,1,0,3,not fished,7
Pomacentrus,amboinensis,Pomacentridae,1,1,1,1,1,1,6,not fished,9
Pomacentrus,armillatus,Pomacentridae,0,0,1,0,0,0,1,not fished,8
Pomacentrus,aurifrons,Pomacentridae,0,0,0,1,1,0,2,not fished,6.2
Pomacentrus,bankanensis,Pomacentridae,1,1,1,1,1,0,5,not fished,9
